French,English
un, a(masc)
une, a(fem)
le, the(masc)
la, the(fem)
masc, -age -ment -oir -sme
un village, a village
un étage, a floor
une image, a picture
la plage, the beach
un appartement, a flat
un bâtiment, a building
le ciment, cement
un vêtement, a garment
un miroir, a mirror
un couloir, a corridor
le soir, the evening
un mouchoir, a handkerchief
le tourisme, tourism
le racisme, racism
l'antisémitisme, antisemitism
un cadeau, a present
un chapeau, a hat
un gâteau, a cake
le rideau, the curtain
la peau, skin
l'eau, water
la fin, the end
une main, a hand
une maison, a house
la saison, the season
le lundi, Monday
le français, French
un gramme, a gramme
un mètre, a metre
la chaussette, the sock
le chat, the cat
la tristesse, sadness
la terre, earth
la femme, woman
le squelette, the skeleton
fem:, -tion -ace -erie
l'émission, the TV show
la situation, the situation
l'éducation, education
la glace, ice cream
la face, the front
la boulangerie, the bakery
la boucherie, the butcher's
la librairie, the bookshop
la gendarmerie, the police station
la mère, the mother
le père, the father
le frère, the brother
l'arrière(m), the back
la bibliothèque, the library
le moustique, the mosquito
la cousine, cousin
la blessure, the wound
la nourriture, the food
le dentifrice, the toothpaste
